Run,AvgSpotLen,Bases,BioProject,BioSample,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,SRA Study,ArrayExpress-SPECIES
ERR2819023,302,16924380188,PRJEB21343,SAMEA104139218,ERX2825830,HiSeq X Ten,DN490201M:G7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819024,302,17913158388,PRJEB21343,SAMEA104139219,ERX2825831,HiSeq X Ten,DN490201M:H7,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819025,302,16490980290,PRJEB21343,SAMEA104139220,ERX2825832,HiSeq X Ten,DN490201M:A8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819026,302,16892424058,PRJEB21343,SAMEA104139221,ERX2825833,HiSeq X Ten,DN490201M:B8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819027,302,16482207794,PRJEB21343,SAMEA104139222,ERX2825834,HiSeq X Ten,DN490201M:C8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819028,302,16640729406,PRJEB21343,SAMEA104139223,ERX2825835,HiSeq X Ten,DN490201M:D8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819029,302,18469952768,PRJEB21343,SAMEA104139224,ERX2825836,HiSeq X Ten,DN490201M:E8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819030,302,15944175466,PRJEB21343,SAMEA104139225,ERX2825837,HiSeq X Ten,DN490201M:F8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819031,302,16639493622,PRJEB21343,SAMEA104139226,ERX2825838,HiSeq X Ten,DN490201M:G8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819032,302,17481975170,PRJEB21343,SAMEA104139227,ERX2825839,HiSeq X Ten,DN490201M:H8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2819033,302,16729749644,PRJEB21343,SAMEA104139252,ERX2825840,HiSeq X Ten,DN490201M:A12,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819034,302,15734882218,PRJEB21343,SAMEA104139253,ERX2825841,HiSeq X Ten,DN490201M:B12,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819035,302,17063087882,PRJEB21343,SAMEA104139254,ERX2825842,HiSeq X Ten,DN490201M:C12,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819036,302,17325470012,PRJEB21343,SAMEA104139255,ERX2825843,HiSeq X Ten,DN490201M:D12,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819037,302,18263869176,PRJEB21343,SAMEA104139256,ERX2825844,HiSeq X Ten,DN490201M:E12,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819038,302,16051508380,PRJEB21343,SAMEA104139257,ERX2825845,HiSeq X Ten,DN490201M:F12,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819039,302,17432713836,PRJEB21343,SAMEA104139258,ERX2825846,HiSeq X Ten,DN490201M:G12,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2819040,302,19921330944,PRJEB21343,SAMEA104139259,ERX2825847,HiSeq X Ten,DN490201M:H12,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2844870,302,15166153100,PRJEB21343,SAMEA104139126,ERX2851595,HiSeq X Ten,DN495194E:G11,PAIRED,RANDOM,GENOMIC,Maylandia aurora,ILLUMINA,ERP023585,Maylandia aurora
