Run,AvgSpotLen,Bases,BioProject,BioSample,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,SRA Study,FileLocations
MCYHBC1-647-1,300,0,low_coverage_fish,MCYHBC1-647-1,low_coverage_fish,Element AVITI,MCYHBC1-647-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-647-1-f/MCYHBC1-647-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-647-1-f/MCYHBC1-647-1-f_L1_R2.fastq.gz"
MCYHBC1-654-1,300,0,low_coverage_fish,MCYHBC1-654-1,low_coverage_fish,Element AVITI,MCYHBC1-654-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-654-1-m/MCYHBC1-654-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-654-1-m/MCYHBC1-654-1-m_L1_R2.fastq.gz"
MCYHBC1-658-1,300,0,low_coverage_fish,MCYHBC1-658-1,low_coverage_fish,Element AVITI,MCYHBC1-658-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-658-1-f/MCYHBC1-658-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-658-1-f/MCYHBC1-658-1-f_L1_R2.fastq.gz"
MCYHBC1-661-1,300,0,low_coverage_fish,MCYHBC1-661-1,low_coverage_fish,Element AVITI,MCYHBC1-661-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-661-1-f/MCYHBC1-661-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-661-1-f/MCYHBC1-661-1-f_L1_R2.fastq.gz"
MCYHBC1-664-1,300,0,low_coverage_fish,MCYHBC1-664-1,low_coverage_fish,Element AVITI,MCYHBC1-664-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-664-1-m/MCYHBC1-664-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-664-1-m/MCYHBC1-664-1-m_L1_R2.fastq.gz"
MCYHBC1-669-1,300,0,low_coverage_fish,MCYHBC1-669-1,low_coverage_fish,Element AVITI,MCYHBC1-669-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-669-1-m/MCYHBC1-669-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-669-1-m/MCYHBC1-669-1-m_L1_R2.fastq.gz"
MCYHBC1-670-1,300,0,low_coverage_fish,MCYHBC1-670-1,low_coverage_fish,Element AVITI,MCYHBC1-670-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-670-1-m/MCYHBC1-670-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-670-1-m/MCYHBC1-670-1-m_L1_R2.fastq.gz"
MCYHBC1-671-1,300,0,low_coverage_fish,MCYHBC1-671-1,low_coverage_fish,Element AVITI,MCYHBC1-671-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-671-1-m/MCYHBC1-671-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-671-1-m/MCYHBC1-671-1-m_L1_R2.fastq.gz"
MCYHBC1-672-1,300,0,low_coverage_fish,MCYHBC1-672-1,low_coverage_fish,Element AVITI,MCYHBC1-672-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-672-1-f/MCYHBC1-672-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-672-1-f/MCYHBC1-672-1-f_L1_R2.fastq.gz"
MCYHBC1-673-1,300,0,low_coverage_fish,MCYHBC1-673-1,low_coverage_fish,Element AVITI,MCYHBC1-673-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-673-1-f/MCYHBC1-673-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-673-1-f/MCYHBC1-673-1-f_L1_R2.fastq.gz"
MCYHBC1-674-1,300,0,low_coverage_fish,MCYHBC1-674-1,low_coverage_fish,Element AVITI,MCYHBC1-674-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-674-1-m/MCYHBC1-674-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-674-1-m/MCYHBC1-674-1-m_L1_R2.fastq.gz"
MCYHBC1-682-1,300,0,low_coverage_fish,MCYHBC1-682-1,low_coverage_fish,Element AVITI,MCYHBC1-682-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-682-1-m/MCYHBC1-682-1-m_L1_R1.fastq.gz,,PM27/MCYHBC1-682-1-m/MCYHBC1-682-1-m_L1_R2.fastq.gz"
MCYHBC1-685-1,300,0,low_coverage_fish,MCYHBC1-685-1,low_coverage_fish,Element AVITI,MCYHBC1-685-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-685-1-f/MCYHBC1-685-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-685-1-f/MCYHBC1-685-1-f_L1_R2.fastq.gz"
MCYHBC1-690-1,300,0,low_coverage_fish,MCYHBC1-690-1,low_coverage_fish,Element AVITI,MCYHBC1-690-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM27/MCYHBC1-690-1-f/MCYHBC1-690-1-f_L1_R1.fastq.gz,,PM27/MCYHBC1-690-1-f/MCYHBC1-690-1-f_L1_R2.fastq.gz"
