Index,SampleID,Organism_ad,GenomeVersion,RunIDs,Coverage,TotalReads,InversionReads,DuplicationReads,ClippedReads,ChimericReads,bwa_version,gatk_version,pysam_version,BamSize,ProjectID,UnmappedReads,DiscordantReads,File,Organism_lmf,Ecogroup
79,SAMEA2661263,Copadichromis likomae,Mzebra_UMD2a,ERR702309,6.572318003,50343181,55314,49964,1064126,1032168,0.7.17,4.2.6.1,0.15.3,4375635076,PRJEB1254,232712,1164586,PRJEB1254/ERR702309.unmapped_marked_adapters.bam,Fossorochromis rostratus,Shallow_Benthic
80,SAMEA2661285,Copadichromis likomae,Mzebra_UMD2a,ERR715483,5.82209327,44596548,77296,46038,1794815,1236078,0.7.17,4.2.6.1,0.15.3,3767693871,PRJEB1254,373246,933650,PRJEB1254/ERR715483.unmapped_marked_adapters.bam,Copadichromis virginalis (Lake Malombe dwarf),Utaka
81,SAMEA4033255,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749413,29.65857231,188063880,299998,307068,3118998,5328530,0.7.17,4.2.6.0,0.15.3,19993106599,PRJEB15289,1065135,7183840,PRJEB15289/ERR1749413.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic
82,SAMEA2661426,Copadichromis likomae,Mzebra_UMD2a,ERR702262,6.762419754,51799338,48986,47544,1001123,934174,0.7.17,4.2.6.1,0.15.3,4503699553,PRJEB1254,285467,1145292,PRJEB1254/ERR702262.unmapped_marked_adapters.bam,Astatotilapia 'Itamba blue',Riverine
83,SAMEA2661269,Copadichromis likomae,Mzebra_UMD2a,ERR715517,19.07114302,146082707,254518,170378,6028927,4266562,0.7.17,4.2.6.1,0.15.3,11507211224,PRJEB1254,2216602,3050534,PRJEB1254/ERR715517.unmapped_marked_adapters.bam,Diplotaxodon macrops,Diplotaxodon
84,SAMEA4033307,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749424,35.13141713,222766981,361584,340780,3695176,6710915,0.7.17,4.2.6.0,0.15.3,22988514940,PRJEB15289,1223784,7834602,PRJEB15289/ERR1749424.unmapped_marked_adapters.bam,Dimidiochromis kiwinge,Shallow_Benthic
85,SAMEA2661318,Copadichromis likomae,Mzebra_UMD2a,ERR730978,5.682578459,43527881,57382,40296,1833145,1017643,0.7.17,4.2.6.1,0.15.3,3618686791,PRJEB1254,150082,801980,PRJEB1254/ERR730978.unmapped_marked_adapters.bam,Astatotilapia 'Massoko littoral',Riverine
86,SAMEA2661241,Copadichromis likomae,Mzebra_UMD2a,ERR715497,17.16460833,131478876,139846,128250,2468645,2559470,0.7.17,4.2.6.1,0.15.3,9778732828,PRJEB1254,621353,3282176,PRJEB1254/ERR715497.unmapped_marked_adapters.bam,Protomelas ornatus,Shallow_Benthic
87,SAMEA4033327,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749458,44.71413123,283530607,418156,451704,4313471,7887819,0.7.17,4.2.6.0,0.15.3,28910481351,PRJEB15289,1423763,10637976,PRJEB15289/ERR1749458.unmapped_marked_adapters.bam,Lethrinops gossei,Deep_Benthic
88,SAMEA1877507,Copadichromis likomae,Mzebra_UMD2a,"ERR266509,,ERR271670,,ERR271678",19.20283667,183864331,207140,156878,2711149,2160749,0.7.17,4.2.6.1,0.15.3,22578227945,PRJEB1254,995364,6230602,PRJEB1254/ERR266509.unmapped_marked_adapters.bam,Astatotilapia Massoko Yellow Calliptera,Riverine
89,SAMEA4033320,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749445,32.90545236,208652223,214450,257820,2275483,3876077,0.7.17,4.2.6.0,0.15.3,20429847144,PRJEB15289,821485,5717324,PRJEB15289/ERR1749445.unmapped_marked_adapters.bam,Maylandia emmiltos,Mbuna
90,SAMEA2661262,Copadichromis likomae,Mzebra_UMD2a,ERR715513,16.55424776,126803586,132272,99518,2656119,2139015,0.7.17,4.2.6.1,0.15.3,9144806097,PRJEB1254,465572,2349502,PRJEB1254/ERR715513.unmapped_marked_adapters.bam,Genyochromis mento,Mbuna
